name,category_id,currency,quantity,unit_value,cost_basis_per_unit,capital_gains_tax_rate,symbol_lookup,description
Emergency Fund,cash,USD,5000.0,1,,,,High-yield savings account
Checking Account,cash,EUR,3000.0,1,,,,Daily bank account
Apple Inc,equity,USD,10.0,,98.50,26,AAPL,
SoftBank,equity,JPY,50.0,,5100.0,0.20315,9984.T,
iShares Core MSCI World,equity,EUR,20.0,,72.30,26,IWRD.AS,
US Treasury Bond,fixed_income,USD,10000.0,1.01,0.99,,,10Y treasury
Corporate Bond Fund,fixed_income,EUR,2000.0,1.03,1.02,,,EUR investment-grade bonds
Hong Kong Apartment,real_estate,HKD,1.0,8200000,7800000,,,Residential property in HK
Bitcoin Wallet,cryptocurrency,USD,0.35,,28000,26,BTC-USD,
Ethereum Wallet,cryptocurrency,USD,1.25,,1800,26,ETH-USD,
Gold ETF,commodities,HKD,15.0,,360,26,2840.HK,
Art Collection,other,USD,1.0,50000,40000,,,Paintings and collectibles
