position_name,type,date,quantity,unit_value,description
Apple Inc,buy,2024-01-15,10,150.50,Initial purchase
Apple Inc,buy,2024-03-10,5,165.20,Dollar-cost averaging
SoftBank,buy,2024-01-20,50,5100.0,Initial position
iShares Core MSCI World,buy,2024-02-01,20,72.30,Index fund accumulation
iShares Core MSCI World,buy,2024-05-15,10,75.50,Quarterly top-up
US Treasury Bond,buy,2024-01-10,10000,101.00,Initial 10Y bond purchase
Bitcoin Wallet,buy,2024-02-14,0.25,28000.00,Initial crypto allocation
Bitcoin Wallet,buy,2024-06-20,0.1,32500.00,DCA additional bitcoin
Ethereum Wallet,buy,2024-03-05,1.0,1800.00,Initial ethereum purchase
Ethereum Wallet,buy,2024-07-10,0.25,1950.00,Quarterly rebalance
Gold ETF,buy,2024-01-05,15,360.00,Precious metals hedge
Corporate Bond Fund,buy,2024-01-25,2000,1030.00,Fixed income allocation
Emergency Fund,update,2024-06-30,5000.0,1.00,Interest accrual and consolidation
Apple Inc,sell,2024-09-01,3,185.75,Partial profit taking
Ethereum Wallet,update,2024-12-01,1.25,2100.00,Year-end revaluation
